Item Name,Selling,M.R.P,Total Stock
OSSUM DEO ZEAL115ML,202.05,225,1
OSSUM PER MIST BLOSSOM 115ML,202.05,225,2
OSSUM PER MIST DELIGHT 115ML,202.05,225,1
OSSUM PER MIST PLEASURES 115ML,230,250,0
OSSUM PER MIST ROMANCE 115ML,202.05,225,2
OSSUM PER SPRAY APPEAL 120ML,210,225,3
OSSUM PER SPRAY CHERISH 120ML,210,225,2
OSSUM PER SPRAY DESIRE 120ML,210,225,3
OSSUM PER SPRAY TEASER 120ML,210,225,2
OSSUM PERFUME 25 ML,79,80,12
OTAGAM MARK APPALAM 100G,14,16,0
OTTO AQUAD-DI 200ML,180,199,0
OTTO ARURA B SRY 200ML,179.1,199,0
OTTO GRANDE B.SRY 200ML,179.1,199,0
OTTO LUXE 200ML,220.5,245,2
OTTO MAN B SPRY 200ML,220.5,245,1
OTTO URGE 200ML,180,199,0
OVALTINE BEVERAGE POWDER MILK 200G,145,150,2
OVALTINE MALT BEBEVERAGE POWDER CHOCO 200G,145,150,2
OVALTINE MALT BEVERAGE POWDER CHOCO 400G,280,289,3
OVALTINE MALT BEVERAGE POWDER MILK 400G,280,289,4
OXYLIFE MEN CREME BLEACH 15G,39,40,2
OXYLIFE NR5 CR BLE 27G,80,82,0
OXYLIFE NR5 CR BLE 9G,41,42,1
OZONE PHENOL LIME 1L,80,82,7
OZONE PHENOL ROSE 1L,80,82,1
OZONE PHENOL SANDAL 1LR ,90,92,5
P/B ALPHONE MANGO JUICE180ML,19,20,4
PACHIA BROOMS 130/-,0,0,0
PACKIA BROOMS 100/-,85,100,2
PACKIA BROOMS 120/-,100,120,4
PACKIA BROOMS 130/-,110,130,1
PACKIA BROOMS 137/--,115,134,6
PACKIA BROOMS 175/,140,175,14
PACKIA BROOMS 180/-,140,170,19
PACKIA BROOMS 80/-,65,80,1
PACKIA BROOMS 90/-,70,90,1
PACKIA DOUBLE LONG BROOMS 100/-,95,108,0
PACKIA SOFTBROOMS 141/-,130,141,1
PACKIA WASHING SODA 100G,16,17,22
PACKIA WASHING SODA 500G,54,55,4
PACKIYA HANDLE BROOMS,130,150,23
PACKIYA HANDLE BROOMS 160/,135,160,14
PACKIYA HANDLE BROOMS 180/,145,180,14
PAD 80/-,78,80,0
PADMINI,53,55,6
PADMINI LAVENDER BIG,53,55,14
PADMINI LAVENDER DHOOP 55/-,50,55,5
PADMINI ROSA DHOOP 55/-,50,55,5
PADMINI SANDAL DHOOP 55/-,50,55,6
PADMINI SPIRINAL GUIDE BIG,53,55,10
PADMINI ULTIMO DHOOP 55/-,50,55,14
PALLAVI KUM KUM 3 IN 1,14,15,"1,270.00"
PALM SUGAR CANDY 100G,29,34,1
PALMOLIVE AROMA SHOWER GEL 250ML,195,199,4
PALMOLIVE COCONUT JOY BODY WASH 250ML,185,190,0
PAMPERS 28 PANTS 7-12KG,389,399,2
PAMPERS 30 PANTS L 9-14KG,735,749,1
PAMPERS 32 PANTS 7-12KG,735,749,1
PAMPERS 34,34,35,2
PAMPERS 86S 5KG,980,"1,049.00",2
PAMPERS ACT BABY 3-8KG,355,360,1
PAMPERS ACT BABY 6-11KG,350,360,3
PAMPERS ACT BABY 9-14KG,415,425,5
PAMPERS ALOE VERA M7-12KG,113,115,4
PAMPERS BABY ALOE VERA WIPES 72N,190,199,16
PAMPERS BABY DRY 2S 4-8KG,19.5,20,19
PAMPERS BABY DRY 4S 4-8KG,39,40,6
PAMPERS BABY DRY 58S 4-8KG,674,699,1
PAMPERS BABY DRY 86S 4-8KG,"1,024.00","1,049.00",0
PAMPERS BABY DRY 9-14 KG,341,350,4
PAMPERS BABY DRY LAR 9-14 KG,320,325,3
PAMPERS BABY DRY M 7-12KG 76N,984,"1,099.00",4
PAMPERS BABY DRY S10 5KG,97,99,0
PAMPERS BABY DRY XL 56S 12-17KG,984,"1,099.00",3
PAMPERS BABY DRY XS 66S,674,699,1
PAMPERS BABY DRY XXL 16 PANTS,395,399,3
PAMPERS BABY DRY XXL 8N 15-25KG,195,199,5
PAMPERS BABY L 9-14KG,122,125,3
PAMPERS BABY L 9-14KG,674,699,2
PAMPERS BABY L 9-14KG 64N,949,"1,099.00",4
PAMPERS BABY TRY 6-11,316,325,1
PAMPERS BABY TRY 6-11 KG,73,75,0
PAMPERS BABY TRY 6-11KG,73,75,0
PAMPERS BABY TRY 9-14KG,78,80,0
PAMPERS BABY TRY NB-S 8KG,325,330,4
PAMPERS BABY WIPES 64N,183,185,0
PAMPERS BABY XS 18S,195,199,5
PAMPERS DRY BABY 20S 4-8KG,222,229,1
PAMPERS DRY PAN 9-14 KG,54,56,3
PAMPERS MEDIUM 7-12 KG,100,105,12
PAMPERS NB 5KG,"1,024.00","1,049.00",1
PAMPERS NB-S 8KG,147,150,0
PAMPERS NEW BABY 0-5KG 38N,355,360,4
PAMPERS NEW BABY 5KG,350,360,1
PAMPERS NEW BABY 5KG 7N,97,99,0
PAMPERS NEW BABY 5KG 9 N,97,99,3
PAMPERS PANTS 21S,289,299,0
PAMPERS PANTS 4S,39,40,0
PAMPERS PANTS 9-14KG,"1,024.00","1,049.00",0
PAMPERS PANTS L 9-14KG,395,399,2
PAMPERS PANTS L2 9-14KG,27,28,2
PAMPERS PANTS LG 12S,189,199,4
PAMPERS PANTS M 50S,674,699,3
PAMPERS PANTS M 7-12KG,197,199,4
PAMPERS PANTS M2 7-12KG,47,48,9
PAMPERS PANTS M7-12KG,46,48,3
PAMPERS PANTS NW BABY 62S,689,699,0
PAMPERS PANTS XXL 28PANTS,795,799,1
PAMPERS PC 4PANTS L,87,90,1
PAMPERS PC L20 9-14KG,470,475,0
PAMPERS PC M22 7-12KG,369,399,4
PAMPERS PC PANT 4M,68,70,0
PAMPERS PC PANT 4S,53,55,2
PAMPERS PC PANTS XS 4,48,50,3
PAMPERS PC S28 4-8KG,392,399,1
PAMPERS PC XL19 12-17KG,469,499,0
PAMPERS PC XS 0-5KG,279,299,2
PAMPERS S 36S,379,399,4
PAMPERS S9 4-8KG,97,99,5
PAMPERS SMALL 4-8 KG,97,99,9
PAMPERS WIPES 64N,180,185,2
PAMPERS XL 21 12-17KG,390,399,8
PAMPERS XL 36 12-17KG,640,649,1
PAMPERS XL 5PANTS,104,105,9
PAMPERS XXL 20 15-25KG,490,499,0
PAMPERS XXL 28PANTS,674,699,1
PAMPERS XXXL23 17KG,"1,034.00","1,099.00",2
PAMPERS XXXL7 17KG,294,299,6
PAMPERSE NEW BABY S20 5G,194,199,0
PAMPERSE PANTS LAV 5KG,18,18,1
PAMPERSE XL 2 12-17KG,15,16,7
PAMPERSE XL 7 12-17KG,143,145,1
PAMPERSM WIPES 8N,29,30,9
PAMPRES PANTS M7-12KG,684,699,2
PANA KARKANDU 500G,300,310,1
PANA KARKANDU 50G OLD,29,30,153
PANAKARKANDU 100G,64,70,18
PANAKARKANDU 1KG,600,620,0
PANAKARKANDU 50G,32,35,0
PANAKARKANDU BULK,620,700,10.1
PANANKARKANDU 100G,58,65,31
PANCHRATAN MIX 150G,54,55,0
PANCHU THIRI 3N,9,12,125
PANDIAN CITRON PICKLE 200G,58,60,1
PANDIAN CITRON PICKLE 300G,67,70,0
PANDIAN GARLIC PICKLE 300G,90,95,0
PANDIAN LIME PICKLE 200G,58,60,0
PANDIAN LIME PICKLE 300G,67,70,0
PANDIAN MANGO PICKLE 200G,63,65,0
PANDIAN MANGO PICKLE 300G,67,70,4
PANDIYAN PULI RICE PASTE 300G,75,77,2
PANI POORI PAPAD 100G,22,27,45
PANIVARAGU 500G,60,70,8
PANJABI TADKA 150G,34,35,3
PANJATHA KASTHURI BREATHEASY 200G,170,175,0
PANJATHA KASTHURI BREATHEASY 400G,320,330,1
PANJATHA KASTHURI BREATHEASY SYRUP 200M,160,165,3
PANJATHA KASTHURI ORTHO HERBAL OIL 100ML,100,105,1
PANKAJA KASTHURI MAYUKHI HERBAL HAIR OIL 100ML,145,150,0
PANKAJA KASTHURI MAYUKHI HERBAL HAIR OIL 200ML,280,290,2
PANKAJA KASTHURI MAYUKHI HERBAL HAIR OIL 50ML,78,80,6
PANTEEN ADVANCED HAIRFALL SOLUTION SS 180ML,130,132,7
PANTEN ADVANCED HAIRFALL SOLUTION AD 180ML,110,115,7
PANTEN ADVANCED HAIRFALL SOLUTION LC 200ML,118,120,6
PANTEN ADVANCED HAIRFALL SOLUTION LC 650ML,490,500,5
PANTEN PRO ADVANCED HAIRFALL SOLUTION HFC 75ML,58,60,3
PANTEN PRO ADVANCED HAIRFALL SOLUTION LB 180ML,118,120,11
PANTEN PRO ADVANCED HAIRFALL SOLUTION LB 340ML,222,225,3
PANTEN PRO ADVANCED HAIRFALL SOLUTION LB 75ML,58,60,2
PANTEN PRO HFC 1000ML,590,600,0
PANTEN PRO HFC HAIR CONTROL,490,500,3
PANTENE 2 IN 1 HFC 180ML,143,145,3
PANTENE 2 IN 1 HFC 650 ML,610,625,2
PANTENE 2 IN 1 SS 340ML,270,275,3
PANTENE 2 IN 1 SS 650ML,610,625,2
PANTENE 2 IN1 AHS 180ML,143,145,8
PANTENE 2IN1 HAIRFALL 340ML,280,285,4
PANTENE 675ML*175ML CONDITIONER,510,520,0
PANTENE 80ML CONDITIONER HFC,88,90,0
PANTENE ADS SILKY SMOOTH C 650ML,490,500,2
PANTENE ADV HF SOLUTION LONG BLACK SHAMPOO 650ML,490,500,3
PANTENE ADV TOTAL DAMAGE 650ML,490,500,2
PANTENE AHF SOLU 75ML,58,60,3
PANTENE AHS LC 15/-,63,64,18
PANTENE AHS SS 10ML*5N,19.5,20,37
PANTENE AHS SS COND 180ML,185,190,4
PANTENE AHS SS COND 80ML,88,90,7
PANTENE AHS TDC 180ML,118,120,8
PANTENE AHS TDC 340ML,210,220,1
PANTENE AHS TDC 650ML,490,500,2
PANTENE AHS TDC 75ML,58,60,3
PANTENE AHS TDC CON 180ML,175,180,5
PANTENE AHS TDC CON 80ML,82,85,0
PANTENE CONDITIONER HFC 180ML,185,190,8
PANTENE H.FALL.C. 180ML,118,120,4
PANTENE HAIR ALL CON 340ML,220,225,1
PANTENE HAIRFALL CONTROL SAMPOO 5PCS,0,0,0
PANTENE HAIRFALL CONTROL SAMPOO 8N,14.5,15,11
PANTENE HAIRFALL SHAMPOO 2/-,30,32,58
PANTENE HC 5ML* 5N,9.83,10,0
PANTENE LIVE.CLEAN 400ML,220,225,3
PANTENE LIVE.CLEAN 90ML,58,60,4
PANTENE OHM OIL RPNT 80ML,88,90,8
PANTENE OIL RLMNT 180ML,185,190,4
PANTENE SAMPOO 8N,16,16,12
PANTENE SS.CARE 340ML,210,220,3
PAPAD CORN VADAM 100G,36,45,1
PAPAD GARLIC VADAM 100G,24,30,6
PAPAD GOLD FINGER  RING 100GM,14,18,10
PAPAD GOLD FINGER CHAKRA 100G,14,18,9
PAPAD GOLD FINGER STAR 100G,14,18,3
PAPAD GOLD FINGER SURYA 100G,14,18,1
PAPAD GOLD FINGER WINDOW 100G,14,18,13
PAPAD GOLD FINGER YELLOW 100G,14,18,4
PAPAD GREEN CHILLI VADAM 100G,24,30,1
PAPAD OMAM VADAM 100G,40,45,9
PAPAD ONION RING 100G,26,27,2
PAPAD POTATO VADAM 100G,36,45,6
PAPAD RICE VADAM 100G,40,45,9
PAPAD SPL JEERA VADAM 100G,42,45,0
PAPAYA,50,50,19.58
PAPER BOAT 10RS,9.83,10,7
PAPER BOAT AAM PANNA 20/-,19.5,20,0
PAPER BOAT AAMRAS,19,20,6
PAPER BOAT ALPHONSO,19.5,20,1
PAPER BOAT ANAR,24,25,7
PAPER BOAT APPLE,19.5,20,7
PAPER BOAT APPLE VIT.D JUICE,19,20,6
PAPER BOAT CHILLI GUAVA,19,20,5
PAPER BOAT JALJEERA 20/-,19,20,6
PAPER BOAT LYCHEE RAS 20/-,19,20,4
PAPER BOAT MIXED FRUIT 20/-,19.5,20,3
PAPER BOAT ORANGE 150ML,19,20,5
PAPER BOAT SANTRA,19,20,4
PAPER BOAT SWING LU LYCHEE 10/-,9.83,10,6
PAPER GRID NOTE BOOK 120 PAGES SR 35/-,34,35,1
PAPER GRID NOTE BOOK 120 PAGES UR 35/-,34,35,5
PAPER GRID NOTE BOOK 156 PAGES SR 28/-,27,28,8
PAPER GRID NOTE BOOK 156 PAGES UR 28/-,27,28,12
PAPER GRID NOTE BOOK 160 PAGES SR 48/-,47,48,26
PAPER GRID NOTE BOOK 160 PAGES SR 60/-,58,60,8
PAPER GRID NOTE BOOK 160 PAGES UR 48/-,44,45,5
PAPER GRID NOTE BOOK 160 PAGES UR 60/-,60,60,0
PAPER GRID NOTE BOOK 190/-,180,190,4
PAPER GRID NOTE BOOK 4LINS 25/-,24,25,3
PAPER GRID NOTE BOOK 72 PAGES SR 30/-,29,30,9
PAPER GRID NOTE BOOK 72 PAGES UR 30/-,29,30,12
PAPER GRID NOTE BOOK SR 17/-,14,15,11
PAPER GRID NOTE BOOK SR 210/-,200,210,5
PAPER GRID NOTE BOOK SR 30/-,29,30,2
PAPER GRID NOTE BOOK UR 15/-,17,17,13
PAPER GRID NOTE BOOK UR 210/-,200,210,2
PAPER GRID NOTE BOOK UR 30/-,29,30,9
PAPER STRAWS 7MM,115,140,3
PARACHUTE 20/-,19.5,20,19
PARACHUTE ADVANCE JASMINE HAIR OIL 500ML,213,215,6
PARACHUTE ADVANCED ALOE VERA ENRI CO OIL 75ML,39,40,5
PARACHUTE ADVANCED ALOE VERA ENRICH CO OIL 250ML,123.5,130,11
PARACHUTE ADVANCED ALOE VERA ENRICH CO OIL 250ML +75ML,118,120,1
PARACHUTE ADVANCED ALOE VERA ENRICH COCONUT OIL 150ML,78,80,5
PARACHUTE ADVANCED GOLD COCONUT OIL 170ML,73,75,0
PARACHUTE ADVANCED GOLD COCONUT OIL 275ML,117,120,0
PARACHUTE ADVANCED GOLD COCONUT OIL 450ML,190,195,3
PARACHUTE ADVANCED GOLD COCONUT OIL 500ML,245,250,0
PARACHUTE ADVANCED GOLD COCONUT OIL 90ML,43,44,1
PARACHUTE ADVANCED JASMINE H OIL 190ML,78,80,4
PARACHUTE ADVANCED JASMINE H OIL 300ML,133,135,4
PARACHUTE ADVANCED JASMINE H OIL 45ML,19.5,20,12
PARACHUTE ADVANCED JASMINE HAIR OIL 90ML,41,42,6
PARACHUTE AYUR COCONUT HAIR OIL 300ML,182,185,2
PARACHUTE AYUR COCONUT HAIR OIL 45ML,34,35,7
PARACHUTE AYUR COCONUT HAIR OIL 95ML,62.5,64,5
PARACHUTE AYUR CONUT HAIR OIL 190ML,122,124,4
PARACHUTE COCONUT OIL 100ML,35,36,24
PARACHUTE COCONUT OIL 100ML +20 EX PKT,31,32,41
PARACHUTE COCONUT OIL 175ML,62,63,13
PARACHUTE COCONUT OIL 20/-,19.5,20,16
PARACHUTE COCONUT OIL 250ML,90.25,92,32
PARACHUTE COCONUT OIL 500G,135,145,0
PARACHUTE COCONUT OIL 500ML,180,185,28
PARACHUTE COCONUT OIL 50ML,19.5,20,4
PARACHUTE COCONUT OIL JAR 1LIT,410,415,5
PAREXCEL ALOE VERA GEL,92,95,0
PARI JIO JASMINE,54,55,5
PARIMAL INTIMATE TUBE AGARBATHI 14/-,13,14,15
PARIMAL JIO SANDAL 19G,12,13,11
PARIMAL JIYO LAVENDER 105GMS,50,55,4
PARIMAL JIYO LAVENDER 19GMS,12,13,13
PARIMAL JIYO PREMIUM INCENSE CONES NISARG 15/-,14,15,16
PARIMAL JIYO ROSE 19GMS,12,13,12
PARIMAL JNISAG 105GMS,50,55,1
PARIMAL KESAR KASTHURI 100G,50,55,11
PARIMAL KESAR KASTHURI 20G,11,12,6
PARIMAL MANGAL CUP SAM,71.25,75,16
PARIMAL OMA 120GMS,51,55,7
PARIMAL OMA 20GMS,11,12,13
PARIMAL PINE APPLE  BLAST AGARBATHI 100GM,50,55,6
PARIMAL PINE APPLE BLAST AGARBATHI 18GM,11,12,6
PARIMAL POOJA FLORA BATHI 100GMS,53,55,6
PARIMAL POOJA FLORA BATHI 20GMS,11,12,5
PARIMAL PURE ROSE BATHI,130,150,7
PARIMAL PURE SAND BATHI,130,150,9
PARIMAL SANDAL 105GMS,50,55,13
PARIMAL YATRA BATHI 30GM,53,55,6
PARK AVENUE AFTER SHAVE LOTION COOL BLUE 50ML,123,125,0
PARK AVENUE AFTER SHAVE LOTION GD MRNG 50ML,123,125,1
PARK AVENUE AFTER SHAVE LOTION NW TRAV PACK 45ML,97,99,1
PARK AVENUE ALEXANDER 150ML,179.1,199,3
PARK AVENUE ALPS FRESH 130ML,205,210,1
PARK AVENUE ALTR BO SPR 150ML,216,240,2
PARK AVENUE AMAZON WOODS 120ML,265,275,0
PARK AVENUE BEER HAIRFALL CONTROL 180ML,150,155,3
PARK AVENUE BEER SHA ANTI DAND 180ML,150,155,2
PARK AVENUE BEER SHA ANTI DAND 70ML,39,40,7
PARK AVENUE BEER SHA DAMA FR 180ML,150,155,6
PARK AVENUE BEER SHA DAMA FR 70ML,39,40,2
PARK AVENUE BEER SHAMPO SHIN BOUN 180ML,150,155,2
PARK AVENUE BEER SHAMPO SHIN BOUN 70ML,39,40,1
PARK AVENUE COOL BL SOAP 125G,54,55,10
PARK AVENUE COOL BLU BOD SPR 150ML,179.1,199,3
PARK AVENUE COOL BLUE 130ML,189,210,2
PARK AVENUE ECLECTI BODY SPR 150ML,194,199,0
PARK AVENUE EPIC 150ML,179.1,199,2
PARK AVENUE FUJI SPICE 130ML,189,210,1
PARK AVENUE GERM PROTECT SOAP,49,50,9
PARK AVENUE GOOD MO SOAP 125G,54,55,15
PARK AVENUE GOOD MORNING 50ML,269.1,299,2
PARK AVENUE HAIR FALL BEER SAMPOO 70ML,39,40,0
PARK AVENUE HECULES 150ML,179.1,199,1
PARK AVENUE INTEN 150ML,179.1,199,2
PARK AVENUE LUXURY SO 125G,54,55,9
PARK AVENUE MARCUS 150ML,179.1,199,1
PARK AVENUE MEGA DEO VOYAGE 220ML,269.1,299,0
PARK AVENUE NEO BO SPR 150ML,216,240,3
PARK AVENUE NEO BO SPRRAY 235ML,290,299,0
PARK AVENUE OPTIMUS 150ML,179.1,199,1
PARK AVENUE RUGGET GE 100G,83,85,0
PARK AVENUE RUGGET GE 50G,49,50,0
PARK AVENUE SHAVING CR CLASSIC 84GM,74,75,2
PARK AVENUE SHAVING CR COOL BLUE 84GM,68,69,2
PARK AVENUE SHAVING CR GUD MRNG 84GM,74,75,8
PARK AVENUE SHAVING CR LEMON STORM 84GM,68,69,1
PARK AVENUE SOF HOL 100G,83,85,0
PARK AVENUE STORM 130ML,189,210,0
PARK AVENUE STORM BOD SPR 150ML,179.1,199,2
PARK AVENUE STORM SO 125G,54,55,14
PARK AVENUE TRANQUIL SPR 150ML,179.1,199,3
PARK AVENUE VOYA BO SPR 150ML,220,240,0
PARK AVENUE VOYA BO SPR 80ML,145,149,0
PARK AVENUE VOYAGE 50ML,340,349,2
PARK AVENUE WAKE UP BOD SPR 150ML,179.1,199,3
PARK AVENUE WET LOOK 100G,83,85,0
PARK AVENUE ZOUK SPRA 135ML,189,210,4
PARK AVETRANC SPRA 135ML,189,210,7
PARK ELECTRI SPRA 135ML,200,210,1
PARK FIESTA SPRA 135ML,200,210,5
PARLE 20-20 BUTTER COOKIES 150G+50G,19,20,4
PARLE 20-20 CASEW COOKIES,4.75,5,8
PARLE BOURBON FAB COMBO 80/-,80,100,3
PARLE CAFECHINO TOFFEE 50/-,49,50,1
PARLE CHA TASTY PEANUTS 10/-,9.83,10,5
PARLE COCONUT 10/-,9.83,10,14
PARLE FAB BOERBON 120G,19.5,20,0
PARLE GUAVA ZING CANDY 50/-,49,50,0
PARLE HAND SANITIZER 200ML,95,100,0
PARLE HAND SANITIZER 500ML,237.5,250,1
PARLE HIDE SEEK 120GM,29,30,10
PARLE HIDE SEEK 200G,59,60,0
PARLE HIDE SEEK ALMONDS,29,30,19
PARLE KISMI ELAICHI 245.5G,49,50,8
PARLE KRACK JACK 200G,29,30,4
PARLE KRACK JACK 50G 10/,9.83,10,0
PARLE KRACK JACK JEERA BIS 10/-,9.83,10,0
"PARLE MAGIX CHO,ORA,ELAT 10/-",9.83,10,0
PARLE MANGO BITE,49,50,9
PARLE MARIE 90G,9.83,10,6
PARLE MASALA ONION,9.83,10,9
PARLE MAZELO,50,50,0
PARLE MILANO MINIS,78,80,0
PARLE MILK SHAKTI 150GM,24,25,9
PARLE MILK SHAKTI 20/-,19.5,20,0
PARLE MILK SHAKTI 98G,9.83,10,7
PARLE MONACO PIRI PIRI,9.83,10,7
PARLE MONACO PIZZA 10/-,9.83,10,7
PARLE MONACO PIZZA 300G,73,75,1
PARLE NICE 10/-,9.83,10,34
PARLE NUTRI CRUNCH GINGER SNAP COOKIS,19,20,14
PARLE NUTRIC LITE 15/-,14.5,15,3
PARLE NUTRICRUNCH 20/-,19.5,20,10
PARLE ORANGE BITE,49,50,1
PARLE ORANGE BITE 2,49,50,5
PARLE PREMIUM RUSK,9.83,10,16
PARLE PREMIUM RUSK 40/-,39,40,8
PARLE ROLA COLA 20/-,19.5,20,1
PARLE RUSK MILK 200G,29,30,3
PARLE RUSK MILK 400G,59,60,20
PARLE RUSK REAL ELAICHI,29,30,0
PARLE TOP BUTTERY CRACKERS 10/-,9.83,10,0
PARLE TOPSPIN 10/-,9.83,10,0
PARLE-G,78,80,9
PARLE-G 110+20G,9.83,10,20
PARLE-G 200G+50,21,22,5
PARLE-G 250G,19.5,20,9
PARLE-G 3/-,3,3,26
PARLE-G 3/- PACK,68,72,0
PARLE-G 5/-,5,5,0
PARLE-G 800G,74,75,0
PARLES ALOO CHAT 10/-,9,10,2
PARODONTAX DAILY FLUORIDE,113,115,2
PARODONTAX ULTRA CLEAN,113,115,0
PARRY AMRIT JR 750G,68,70,1
PARRY PURE REF SUG 1KG,59,60,28
PARRY PURE SUGAR 1KG,73,75,4
PARRY W LABLE 1KG,49,50,11
PARRY WHITE L SUGAR 500G,29,30,25
PARRYS HANDKLEEN HAND SANITIZER 50/-,49,50,1
PARRYS PURE CUBES SUGAR 200GM,69,70,6
PARRYS SWEET CARE LOW GI SUGAR 200G(40N),47,50,0
PARRYS SWEET CARE LOW GI SUGAR 500G,55,60,9
PARRYS WHITE LABEL SUGAR 200GM,14,15,10
PARY AMIRIT NB SUGAR 500G,49,50,43
PATANJALI ALOEVERA CL 150G,29,30,1
PATANJALI ALOEVERA CL 75G,14.5,15,2
PATANJALI AMLA CANDY 250G,65,70,0
PATANJALI AMLA HAIR OIL 100ML,39,40,0
PATANJALI AMLA HAIR OIL 200ML,79,80,0
PATANJALI ANTI HERBAL HAND WASH 250ML,59,60,0
PATANJALI ATTA NOODLES 10/-,9.83,10,12
PATANJALI ATTA NOODLES 4PACK,39,40,10
PATANJALI ATTA NOODLES CHATPATA 60G,9.83,10,0
PATANJALI ATTA WHEAT FLOUR 1KG,47,48,2
PATANJALI BALM 25/-,24,25,0
PATANJALI BALM 45/-,44,45,0
PATANJALI DAILA 500G,24,25,4
PATANJALI DKANTI NAT TP 10/-,9.83,10,1
PATANJALI DKANTI NAT TP 100G,44,45,1
PATANJALI DKANTI NAT TP 200G,84,85,0
PATANJALI DKANTI NAT TP 50G,19.5,20,0
PATANJALI DOODH BISCUITS 10/-,9.83,10,3
PATANJALI DOODH BISCUITS 35-/,34,35,8
PATANJALI GULAB JAL 120ML,27,28,3
PATANJALI HAND SANITIZER,54,55,1
PATANJALI HC KANTI BODY CL 150G,29,30,4
PATANJALI HC KANTI BODY CL 75G,14.5,15,0
PATANJALI HERB HANDWASH 200ML,44,45,3
PATANJALI HERB WA D POW 1KG,54,55,1
PATANJALI HERB WA D POW 500G,27,28,1
PATANJALI HERB WASH LEM 1KG,69,70,0
PATANJALI HERB WASH LEM 500G,34,35,2
PATANJALI HONEY 250G,72,75,12
PATANJALI HONEY 500G,140,145,0
PATANJALI KE KAN AL VERA HC,84,85,0
PATANJALI KESH KANTI HR CLEANSER 1/-,1,1,10
PATANJALI KESH KANTI HR CLEANSER MILK PRO 200ML,93,95,0
PATANJALI KESH KANTI HR REETHA 200ML,84,85,3
PATANJALI KESH KANTI HR SILK AND SHINE 200ML,79,80,0
PATANJALI KK HAIR CL DAND 200ML,108,110,0
PATANJALI KK NAT HAIR CL 200ML,74,75,0
PATANJALI MARIE BIS 10/-,9.83,10,22
PATANJALI MARIE BIS 30/-,29,30,1
PATANJALI MIXED FRUIT JAM 100-/,90,100,0
PATANJALI MUL MITTI CL 75G,34,35,3
PATANJALI NARIYAL BISCUITS 10-/,9.83,10,6
PATANJALI NEEM BODY CL 150G,29,30,0
PATANJALI NEEM BODY CL 75G,14.5,15,0
PATANJALI NEEM SOAP 100G,21,22,1
PATANJALI PANCHGAVYA 150G,27,28,0
PATANJALI PANCHGAVYA 75G,14.5,15,0
PATANJALI SAUN ALO VER KC GEL 150ML,110,110,0
PATANJALI SAUN ALOE VERA GEL 150ML,89,90,0
PATANJALI SAUN ALOE VERA KC GEL 60ML,44,45,0
PATANJALI SAUN FW 60G,58,60,0
PATANJALI SD SAND B CL 75G,39,40,8
PATANJALI SOMYA LIQ DETERGENT 500ML,75,80,0
PATANJALI SPECIAL CHAYAWANPRASH 135-/,130,135,2
PATANJALI SUPER DW 280G 3*1,39,40,0
PATANJALI SUPER DW BAR 175G,9.83,10,0
PATTAI 25G N,18,22,14
PATTAI 25G OLD,18,20,0
PATTAI BULK,600,720,0.24
PATTANI 250G,48,60,3
PATTANI GREEN 250G OLD,49,60,56
PATTANI PARUPPU 500G OLD,45,50,13
PATTANI PARUPU 500G,44,50,0
PATTANI PARUPU BULK,90,100,2
PATTANI WH 250G OLD,26,30,61
PATTANI WHITE 250G,26,30,12
PATTANI WHITE BULK,117,150,5.5
PAVUN DOMICE SPARKLE RS.30/-,29,30,0
PAVUN STICK CHIPS RS.30/-,29,30,0
PAVUN UMBRELLA CHIPS RS.30/-,29,30,0
PAVUN WHEEL CHIPS RS.30/-,29,30,0
PDS OIL CONTROL FACE WASH  50G,67,69,4
PDS PW FACEWASH 100G,187,190,7
PE BIRDS CUTTING BOARD 001 299/-,216,299,0
PE BIRDS CUTTING BOARD 004 550/-,399,550,2
PE BIRDS KITCHEN CONTAINER GLASS B1802,320,370,3
PE BIRDS SS RACK SQAURE 899/-,750,899,9
PE BIRDS STORAGE JARS 615/-,355,615,2
PE BIRDS STORAGE JARS 649/-,450,649,2
PE BIRDS STORAGE JARS 705/-,475,705,3
PE BIRDS STORAGE JARS 810/-,545,810,0
PEACE FACE TISSUE 100PULLS,75,80,12
PEACE KITCHEN TOWEL 2IN1,120,130,2
PEACE KITCHEN TOWEL 60PULLS,68,70,6
PEACE NAPKIN 100PULLS,45,50,10
PEACE NAPKIN 30*30 100PULLS,55,60,6
PEACE NAPKIN 30*30 50PULLS,30,35,0
PEACE NAPKIN 50PULLS,28,30,0
PEACE TOILET TISSUE 200PULLS,39,40,4
PEACOCK 2 IN 1 PEELER PE-2,105,119,12
PEACOCK 2 IN 1 PEELER PE-2 95/-,80,95,0
PEACOCK BULLET SLIM FLASK 750ML,870,885,2
PEACOCK COLA BOTTLE 350ML COLOUR,630,640,2
PEACOCK GREATER PE-1 109/-,95,109,1
PEACOCK GREATER PE-15 109/-,95,109,3
PEACOCK GREATER PE-16 219/-,190,219,2
PEACOCK KNIFE PE-5 69/-,59,69,0
PEACOCK KNIFE PLAIN KF-03,115,120,0
PEACOCK PEELER PE-10,69,79,13
PEACOCK PEELER PE-11 109/-,99,109,1
PEACOCK PEELER PE-17 64/-,62,64,3
PEACOCK PEELER PE-19 95/-,75,95,3
PEACOCK PEELER PE-3,85,95,12
PEACOCK PEELER PE-4,70,79,10
PEACOCK PEELER PE-6,48,53,11
