Item Name,GST Tax Desc,GST code,HSN code,Cost,Selling,M.R.P,Total Stock
HALDIRAMS BHAKAR 200G,GST 12%,5004,21069099,52.17,59,60,0
HALDIRAMS MIXTURE 10/-,GST 12%,5004,21069099,8.55,9.83,10,13
HALDIRAMS SALT PEANUT 150G,GST 12%,5004,20081100,41.03,47,48,5
DEV MIXTURE 200G,GST 12%,5004,21069099,52.49,68,70,2
LITTLE HEARTS 35G,GST 18%,5005,19053100,9.09,9.83,10,19
LITTLE HEARTS 20/-,GST 18%,5005,8901063019,22.73,24.5,25,8
PAVUN WHEEL CHIPS RS.30/-,GST Exempted Tax,5002,5,24,29,30,0
PAVUN UMBRELLA CHIPS RS.30/-,GST Exempted Tax,5002,5,24,29,30,0
PAVUN DOMICE SPARKLE RS.30/-,GST Exempted Tax,5002,5,24,29,30,0
DAL BIJI 150G,GST 12%,5004,21069099,29.56,33,34,0
BOONTHI 150G,GST 12%,5004,21069099,34.78,39,40,0
SAMOSA MINI 200G,GST 12%,5004,21069099,51.28,58,60,0
RELISH PEANUT CHIKKIS CUP 25/-,GST 5%,5003,21069000,18.75,22,25,2
RELISH MULLU  MURUKKU 160G,GST 12%,5004,21069000,40.5,48,54,9
RELISH  BUTTER MURUKKU 160G,GST 12%,5004,21069000,40.5,50,54,8
R KAI MURUKKU 160G,GST 12%,5004,21069000,40.5,50,54,2
RELISH  CHEESE BALL 45G,GST 12%,5004,21069000,24.75,29,33,3
RELISH TOMATO BALL 45G,GST 12%,5004,21069000,24.75,29,33,9
RELISH WHEELS 50G,GST 12%,5004,21069000,18.75,22,25,6
RELISH POTATO CHIPS SALTED 70G,GST 12%,5004,21069000,30.01,37,40,0
RELISH POTATO CHIPS GUNTUR CHILI 70G,GST 12%,5004,21069000,30.01,35,40,0
RELISH  POTATO FINGER CHILLI 70G,GST 12%,5004,21069000,30,37,40,1
RELISH  BANANA CHIPS 90G,GST 12%,5004,21069000,40.5,49,54,1
R CHEESE BALL CUP 40G,GST 12%,5004,21069000,30,35,40,1
RELISH  POTATO CHIPS  MALABAR MASALA 70G,GST 12%,5004,21069000,30,35,40,6
CADBURY DM CRISPELLO 30/-,GST 18%,5005,4257330,26.79,29,30,18
DEV SALT DIAMOND 175G,GST 12%,5004,21069099,45,58,60,3
DEV PAKKAVADA 175G,GST 12%,5004,21069099,48.75,61,65,3
DEV SWEET BANANA CHIPS 175G,GST 12%,5004,20081940,71.25,90,95,8
DEV POPCORN 50G,GST 12%,5004,20081920,26.24,33,35,7
ACT II CHILLI SURPRICE 10/-,GST 12%,5004,,8.93,9.83,10,66
ACT II BUTTER DELITE 70G,GST 12%,5004,,29.46,32,33,38
ACT II TOMATO CHILLI 50G,GST 12%,5004,,26.78,29,30,1
ACT II P SP H R CRUNCHY 462G,GST 12%,5004,,191.96,212,215,0
ACT II P SP H R  CREAMY 462G,GST 12%,5004,,191.96,212,215,2
LAYS MAXX SIZZLING BARBEQUE 22.5G,GST 12%,5004,210690,9.09,9.83,10,41
ACT II BUTTER POPCORN 20/-,GST 18%,5005,,21.92,24,25,15
LITE CHIWDA 10/-,GST 12%,5004,21069099,8.55,9.83,10,18
MIXTURE 10/-,GST 12%,5004,21069099,8.55,9.83,10,12
SOYA STICK 10/-,GST 12%,5004,21069099,8.55,9.83,10,37
BINGO POTATO TOMATO CHIPS 20/-,GST 12%,5004,2106,18.29,19.5,20,33
SNACKS 20/-,GST 5%,5003,,13,20,24,0
SNACKS 30/-,GST 0% Tax,5001,,20,25,30,34
SNACKS 45,GST 0% Tax,5001,,33,45,50,39
TOWN BUS 10RS,GST 12%,5004,21069099,8.27,9.83,10,179
SNACKS 35,GST 0% Tax,5001,,27,30,35,54
SNACKS 50/-,GST 0% Tax,5001,,42,50,65,12
SNACKS 25,GST 0% Tax,5001,,14,25,30,0
SNACKS 40/-,GST 0% Tax,5001,,33,40,45,37
TOO YUM 10RS,GST 12%,5004,,8.87,9.83,10,0
BINGO MAD ANGLES CHEESE 60G,GST 12%,5004,,18.61,19.5,20,6
BINGO STARTERS 10/-,GST 12%,5004,,9.14,9.83,10,0
BINGO PIZZA 10/-,GST 12%,5004,,8.96,9.83,10,84
SNACKS 60/-,GST 0% Tax,5001,,45,60,70,1
SNACKS 55/-,GST 0% Tax,5001,,40,55,60,3
HALDIRAMS CHANA CRACKES 10/,GST 12%,5004,,8.69,9.83,10,5
RELISH MIXTURE 140G,GST 12%,5004,21069000,33.74,40,45,11
RELISH MULLU MURUKKU 160G,GST 12%,5004,21069000,40.5,50,54,6
RELISH OLA PAKODA 150G,GST 12%,5004,21069000,18.75,42,45,10
RELISH CHEKKODI 140G,GST 12%,5004,21069000,33.75,40,45,8
RELISH POTATTO TOM CHIPS 70G,GST 12%,5004,21069000,30,35,40,9
ACT II CHEESE BAKES,GST 12%,5004,,35.1,39,40,9
MASALA PUFFFED RICE 100GM,GST 0% Tax,5001,,22,28,30,10
SNACKS 10/-,GST 5%,5003,,9,11,12,0
HALDIRAMS AGRA TAJ PETHA 200GM,GST 5%,5003,21069099,47.01,52.25,55,12
KHATTA MEETHA 350G,GST 12%,5004,21069099,56.51,63,65,0
SOUTHERN MURUKKU 200G,GST 0% Tax,5001,,35,48,50,6
TIMEPASS TOMATO SPICY 20/-,GST 12%,5004,21069099,18.18,19.5,20,32
MOMS MAGIC CHOCO CHIPS 120G,GST 18%,5005,,26.82,29.75,30,19
TOWN BUS CORN FLAKES MIXTURE120G,GST 12%,5004,21069099,30.4,44,45,7
TOWN BUS KARA BOONDI 120G,GST 12%,5004,21069099,30.39,44,45,12
AMUL FRENCH FRIES 200GM,GST 12%,5004,2004,28.38,32,33,9
PARLES ALOO CHAT 10/-,GST 12%,5004,,8.86,9,10,2
HALDIRAMS ALL IN ONE40GM,GST 12%,5004,21069099,8.55,9.83,10,25
HALDIRAMS MIXTURE 350G,GST 12%,5004,21069099,56.52,63,65,2
HALDIRAMS MOONG DAL 200GM,GST 12%,5004,21069099,47.01,53,55,8
LUVIT DAIRY FRUIT/NUT 40/-,GST 18%,5005,1806,40.91,44,45,6
LUVIT CHOCORICH POUCH 124/-,GST 18%,5005,1806,111.77,123,124,4
LOTTE CHOCOPIE RS.10/- BOX,GST 18%,5005,1905,150,170,180,2
TOWN BUS RIBBON,GST 12%,5004,,37.2,44,45,3
TOWN BUS MASALA PEANUT,GST 12%,5004,,30.4,44,45,31
ACT II SALTED POPCORN 50G,GST 18%,5005,,17.53,19.5,20,8
ALL IN ONE 350G,GST 12%,5004,21069099,69.57,78,80,1
HALDIRAMS MATHRI 200GM,GST 12%,5004,,43.47,49,50,0
ACTII SOU SPICE 70G,GST 12%,5004,20081990,29.46,32,33,25
DEV KUZHALAPPAM 350G,GST 12%,5004,21069099,48.75,63,65,4
DEV MASALA PEANUT 150G,GST 12%,5004,21069099,45,54,55,6
DEV MADURA SEVA 175G,GST 12%,5004,21069099,45,55,60,1
DEV SALT CORN MIXTURES 175G,GST 12%,5004,21069099,48.75,63,65,10
DEV MULLU MURUKKU 175G,GST 12%,5004,21069099,48.75,61,65,6
LAYS MAGIC MASALA 10/-,GST 12%,5004,,8.8,9.83,10,21
HALDIRAMS RATLAMI SEV 50G,GST 12%,5004,21069099,8.55,9.83,10,13
HALDIRAMS RATLAMI SEV 150G,GST 12%,5004,21069099,29.06,33,34,1
HALDIRAMS PHALLHARI CHIWDA 50G,GST 12%,5004,21069099,8.55,9.83,10,0
HALDIRAMS CHANNA CRACKER 150G,GST 12%,5004,21069099,29.56,33,34,4
ACT II NACHOZ GREEN MANGO SALSA 30/-,GST 12%,5004,,21.93,24,25,1
ACT II XTREME BUTTER 70G,GST 12%,5004,,29.46,32,33,16
HALDIRAMS INSTANT BHEL 10/-,GST 12%,5004,21069099,8.55,9.83,10,7
LITE CHIWDA 150GM,GST 12%,5004,21069099,21.73,24,25,3
HALDIRAMS LEMON BHEL 10/-,GST 12%,5004,21069099,8.69,9.83,10,1
HALDIRAMS CHEKARALU 40/-,GST 12%,5004,21069099,34.78,39,40,0
ACT II GOLDEN SIZZLE FAMILY PACK,GST 12%,5004,,29.46,32,33,1
ACT II CLASIC SALTED FAMILY PACK,GST 12%,5004,,29.46,32,33,1
MILKY BAR 20/- BOX,GST 12%,5004,,195,260,280,0
RELISH POTATTO NOODLES CHIPS 70G,GST 12%,5004,21069000,30,37,40,6
RELISH FRYUMS TRIANGLE 50G,GST 12%,5004,21069000,18.75,22,25,18
DEV MASALA PHOTATO CHIPS 100G,GST 12%,5004,21069099,52.49,68,70,3
DEV PUFFED RICE BALL 45/-,GST 5%,5003,1704,42.19,59,60,3
DEV GHEE ROAST 150G,GST 12%,5004,21069099,41.25,53,55,0
DEV SNACKS JACK CHIPS 150G,GST 12%,5004,20081940,86.25,110,115,2
HALDIRAMS BHUJIA SEV 200G,GST 12%,5004,21069099,42.74,48,50,6
