Item Name,MFR Name,Selling,M.R.P,Total Stock
AACHI AVAKAI MANGO PICKLE 200GM(1+1),MFR,87,89,3
AACHI BADAM DRINK 200G MC,MFR,110,115,5
AACHI BADAM DRINK 200G(1+1),MFR,170,175,5
AACHI BADAM DRINK MIX 100G,MFR,85,90,3
AACHI BAJI BONDA MIX 200G,MFR,35,42,23
AACHI BAJJI BONDA 500G,MFR,98,100,10
AACHI BIRIYANI RICE PASTE 200G,MFR,65,70,2
AACHI BIRYANI MASALA 100G,MFR,75,88,7
AACHI BIRYANI MASALA 50G,MFR,35,38,18
AACHI BLACK PEPPER 10/-,MFR,9.8,10,1
AACHI BUTTER MILK KULAMBU MASALA 50G,MFR,11.5,12,0
AACHI CHANNA MASALA 50GM,MFR,30.5,32,0
AACHI CHAT MASALA 50GM,MFR,28,30,6
AACHI CHEMBA PUTTU POWDER 500G,MFR,53,55,12
AACHI CHETTINADU BASMATI BIRYANI 125-/,MFR,123,125,1
AACHI CHETTINADU BIRIYANI MASALA 12/-,MFR,11.5,12,0
AACHI CHETTINADU BIRIYANI MASALA 50G,MFR,29,32,0
AACHI CHICKEN 65 MASALA 100G,MFR,52,60,15
AACHI CHICKEN 65 MASALA 50G,MFR,30,32,15
AACHI CHICKEN CHILLI MASALA 50G,MFR,27,30,13
AACHI CHICKEN FRY MASALA 50G,MFR,24,25,0
AACHI CHICKEN MASALA 100G,MFR,49,55,0
AACHI CHICKEN MASALA 50G,MFR,23,25,17
AACHI CHILLI POWDER 100G,MFR,34,42,13
AACHI CHILLI POWDER 200G,MFR,80,84,7
AACHI CHILLI POWDER 500GM,MFR,180,210,1
AACHI CHILLI POWDER 50G,MFR,19,21,16
AACHI CHUKKU COFFEE 200G,MFR,90,95,1
AACHI CITRON PICKLE 200GM(1+1),MFR,82,85,2
AACHI CITRON PICKLE 300GM,MFR,76,80,3
AACHI CITRON PICKLE 500G,MFR,87,90,0
AACHI CITRON PICKLE 60G,MFR,9.8,10,41
AACHI COMBO 100G,MFR,90,99,0
AACHI COMBO 50G,MFR,45,49,0
AACHI COMPOUNDED ASAFOETIDA 50G,MFR,75,78,4
AACHI CORIANDER POWDER 100G,MFR,25,28,20
AACHI CORIANDER POWDER 200G,MFR,50,56,24
AACHI CORIANDER POWDER 500G,MFR,130,140,8
AACHI CORIANDER POWDER 50G,MFR,12,14,14
AACHI CORRIANDER RICE PASTE 200G,MFR,103,105,3
AACHI CUMIN POWDER 50G,MFR,45,53,16
AACHI CURRY LEAF RICE PASTE 200GMS(1+1),MFR,103,105,1
AACHI CURRY MASALA 100G,MFR,44,52,0
AACHI CURRY MASALA 50G,MFR,26,30,4
AACHI CUT MANGO PICKLE 100G,MFR,19,20,0
AACHI CUT MANGO PICKLE 200GM(1+1),MFR,85,89,6
AACHI CUT MANGO PICKLE 300GM,MFR,76,80,3
AACHI CUT MANGO PICKLE 500G,MFR,87,90,2
AACHI CUTMANGO PICKLE 60G,MFR,9.8,10,9
AACHI DHAL RICE POWDER 100G,MFR,35,42,5
AACHI DINDIGUL BIRIYANI SERAGA SAMBA RICE ,MFR,123,125,0
AACHI DINDUGAL BIRIYANI MASALA 12/-,MFR,11.5,12,1
AACHI DINDUGAL BIRIYANI MASALA 50G,MFR,29,32,2
AACHI DRY GINGER POWDER 50G,MFR,33.25,35,0
AACHI DRY MANGO POWDER 50G,MFR,33.25,35,0
AACHI EGG MASALA 50G,MFR,27.5,31,15
AACHI FENUGREEK POWDER 50G,MFR,34,35,0
AACHI FISH CURRY MASALA 50G,MFR,25,26,12
AACHI FISH FRY MASALA 50G,MFR,30,31,11
AACHI FRIED CHICKEN MIX 50G,MFR,27,35,0
AACHI GARAM MASALA 100G,MFR,60,68,1
AACHI GARAM MASALA 50G,MFR,33,34,17
AACHI GARLIC DHAL POWDER 100G,MFR,41,46,8
AACHI GARLIC PICKLE 100G,MFR,19,20,0
AACHI GARLIC PICKLE 200GM(1+1),MFR,88,90,10
AACHI GARLIC PICKLE 300G,MFR,95,99,2
AACHI GARLIC PICKLE 500G,MFR,93,95,5
AACHI GARLIC PICKLE 50G,MFR,9.8,10,3
AACHI GINGER GARLIC PASTE 100GMS,MFR,23,25,41
AACHI GINGER GARLIC PASTE 200GMS,MFR,37,39,2
AACHI GINGER GARLIC PASTE 300G,MFR,73,75,2
AACHI GINGER GARLIC PASTE 5/-,MFR,4.85,5,34
AACHI GINGER GARLIC PASTE RS.10,MFR,9.8,10,21
AACHI GINGER PICKLE 200GM(1+1),MFR,92,95,2
AACHI GOBI MANCHURIAN MASALA 50G,MFR,15,20,20
AACHI GONGURA PICKLE 200G,MFR,85,89,2
AACHI GRAM FLOUR 200GM,MFR,34,36,7
AACHI GRAM FLOUR 500GM,MFR,83,88,11
AACHI GREEN CHILLI PICKLE 200G,MFR,82,85,0
AACHI GREEN CHILLI PICKLE 60G,MFR,9.8,10,25
AACHI GULAB JAMUM MIX 100GM(1+1),MFR,58,60,0
AACHI GULAB JAMUN MIX 200GM(1+1),MFR,140,145,19
AACHI HEALTH MIX 200G,MFR,149,159,6
AACHI HEALTH MIX 500G,MFR,285,289,14
AACHI HOTEL SAMBAR POWDER 50G,MFR,18,23,13
AACHI HYDERABAD BASMATHI BIRYANI 125-/,MFR,123,125,0
AACHI IDICHA SAMBAR 50G,MFR,19,20,6
AACHI IDLY CHILLI POWDER 100G,MFR,30,36,12
